Radical,Pinyin,Description,Meaning,Variants,StrokeCount
一,yī,one,one; horizontal stroke,none,1
丨,gǔn,vertical stroke,line; vertical stroke,none,1
丶,zhǔ,dot,dot,none,1
丿,piě,slash,slash; bend,none,1
乙,yǐ,second,second; twist,none,1
亅,jué,hook,hook,none,1
二,èr,two,two,none,2
亠,tóu,lid,lid; top,none,2
人,rén,person,man; person,亻,2
儿,ér,legs,legs; son,none,2
入,rù,enter,to enter,none,2
八,bā,eight,eight,none,2
冂,jiōng,down box,border,none,2
冖,mì,cover,cover; roof,none,2
冫,bīng,ice,ice,none,2
几,jī,table,table; small table,none,2
凵,qǔ,open box,container; open box,none,2
刀,dāo,knife,knife; sword,刂,2
力,lì,power,power; force,none,2
勹,bāo,wrap,to wrap,none,2
匕,bǐ,spoon,spoon; dagger,none,2
匚,fāng,right open box,box,none,2
匸,xì,hiding enclosure,to conceal,none,2
十,shí,ten,ten,none,2
卜,bǔ,divination,"to divine; fortune telling",none,2
卩,jié,seal,seal; kneeling person,none,2
厂,chǎng,cliff,cliff,none,2
厶,sī,private,"private; selfish",none,2
又,yòu,again,again; right hand,none,2
口,kǒu,mouth,mouth,none,3
囗,wéi,enclosure,"enclosure; to surround",none,3
土,tǔ,earth,"earth; soil",none,3
士,shì,scholar,"scholar; gentleman",none,3
夂,zhǐ,go,to go,none,3
夊,suī,go slowly,to go slowly,none,3
夕,xī,sunset,"sunset; evening",none,3
大,dà,big,"big; large",none,3
女,nǚ,woman,"woman; female",none,3
子,zǐ,child,"child; son",none,3
宀,mián,roof,roof,none,3
寸,cùn,inch,"inch; thumb",none,3
小,xiǎo,small,"small; tiny",none,3
尢,wāng,lame,lame,none,3
尸,shī,corpse,"corpse; body",none,3
屮,chè,sprout,sprout,none,3
山,shān,mountain,mountain,none,3
巛,chuān,river,"river; stream",川,3
工,gōng,work,"work; labor",none,3
己,jǐ,oneself,oneself,none,3
巾,jīn,turban,"turban; scarf",none,3
干,gān,dry,dry,none,3
幺,yāo,tiny,"tiny; small",none,3
广,guǎng,shelter,"shelter; wide",none,3
廴,yǐn,long stride,to stretch,none,3
廾,gǒng,two hands,hands joined,none,3
弋,yì,shoot,to shoot with a bow,none,3
弓,gōng,bow,bow (weapon),none,3
彐,jì,snout,"snout; pig's head",⺕,3
彡,shān,bristle,"bristles; hair",none,3
彳,chì,step,"step; to walk",none,3
心,xīn,heart,heart,"忄,⺗",4
戈,gē,spear,"spear; dagger-axe",none,4
户,hù,door,door,none,4
手,shǒu,hand,hand,扌,4
支,zhī,branch,branch,none,4
攵,pū,rap,"to tap; to hit",攴,4
文,wén,script,"script; literature",none,4
斗,dǒu,dipper,dipper (measurement),none,4
斤,jīn,axe,"axe; catty (weight)",none,4
方,fāng,square,square,none,4
无,wú,not,"not; nothing",none,4
日,rì,sun,"sun; day",none,4
曰,yuē,say,to say,none,4
月,yuè,"moon; meat","moon; month; flesh",⺼,4
木,mù,tree,"tree; wood",none,4
欠,qiàn,lack,"to lack; to owe",none,4
止,zhǐ,stop,to stop,none,4
歹,dǎi,death,"death; decay",none,4
殳,shū,weapon,weapon,none,4
毋,wú,do not,do not,none,4
比,bǐ,compare,to compare,none,4
毛,máo,fur,"fur; hair",none,4
氏,shì,clan,clan,none,4
气,qì,steam,"steam; air",none,4
水,shuǐ,water,water,氵,4
火,huǒ,fire,fire,灬,4
爪,zhǎo,claw,claw,爫,4
父,fù,father,father,none,4
爻,yáo,lines,lines on a trigram,none,4
爿,pán,half tree trunk,split wood,none,4
片,piàn,slice,"slice; piece",none,4
牙,yá,tooth,"tooth; tusk",none,4
牛,niú,cow,"cow; ox",牜,4
犬,quǎn,dog,dog,犭,4
玄,xuán,profound,"profound; dark",none,5
玉,yù,jade,"jade; gem",王,5
瓜,guā,melon,"melon; gourd",none,5
瓦,wǎ,tile,tile,none,5
甘,gān,sweet,sweet,none,5
生,shēng,life,"life; to be born",none,5
用,yòng,use,to use,none,5
田,tián,field,"field; farmland",none,5
疋,pǐ,bolt of cloth,bolt of cloth,none,5
疒,nè,sickness,"sickness; illness",none,5
癶,bō,footsteps,footsteps,none,5
白,bái,white,white,none,5
皮,pí,skin,"skin; leather",none,5
皿,mǐn,dish,"dish; vessel",none,5
目,mù,eye,eye,none,5
矛,máo,spear,spear,none,5
矢,shǐ,arrow,arrow,none,5
石,shí,stone,stone,none,5
示,shì,altar,"to show; spirit",礻,5
禸,róu,track,track,none,5
禾,hé,grain,grain,none,5
穴,xué,cave,"cave; hole",none,5
立,lì,stand,to stand,none,5
竹,zhú,bamboo,bamboo,⺮,6
米,mǐ,rice,rice,none,6
糸,mì,silk,silk,纟,6
缶,fǒu,jar,"jar; earthenware",none,6
网,wǎng,net,net,"罒,⺲",6
羊,yáng,sheep,"sheep; goat",⺶,6
羽,yǔ,feather,feather,none,6
老,lǎo,old,old,none,6
而,ér,and,"and; beard",none,6
耒,lěi,plow,plow,none,6
耳,ěr,ear,ear,none,6
聿,yù,brush,writing brush,none,6
肉,ròu,meat,"meat; flesh",none,6
臣,chén,minister,"minister; official",none,6
自,zì,self,"self; from",none,6
至,zhì,arrive,to arrive,none,6
臼,jiù,mortar,mortar,none,6
舌,shé,tongue,tongue,none,6
舛,chuǎn,oppose,to oppose,none,6
舟,zhōu,boat,boat,none,6
艮,gèn,stopping,"stopping; tough",none,6
色,sè,color,color,none,6
艹,cǎo,grass,grass,艸,6
虍,hū,tiger stripes,tiger stripes,none,6
虫,chóng,insect,"insect; worm",none,6
血,xuè,blood,blood,none,6
行,xíng,walk,"to walk; to go",none,6
衣,yī,clothes,clothes,衤,6
襾,yà,west,"to cover; west",覀,6
见,jiàn,see,to see,見,7
角,jiǎo,horn,horn,none,7
言,yán,speech,"speech; word",讠,7
谷,gǔ,valley,valley,none,7
豆,dòu,bean,bean,none,7
豕,shǐ,pig,pig,none,7
豸,zhì,badger,"beast; badger",none,7
贝,bèi,shell,"shell; money",貝,7
赤,chì,red,red,none,7
走,zǒu,run,"to run; to walk",none,7
足,zú,foot,foot,⻊,7
身,shēn,body,body,none,7
车,chē,cart,"cart; vehicle",車,7
辛,xīn,bitter,"bitter; spicy",none,7
辰,chén,morning,morning,none,7
辶,chuò,walk,to walk,辵,3
邑,yì,city,"city; town",⻏,7
酉,yǒu,wine,"wine; alcohol",none,7
釆,biàn,distinguish,to distinguish,none,7
里,lǐ,village,village,none,7
金,jīn,gold,"gold; metal",钅,8
长,cháng,long,long,長,8
门,mén,gate,"gate; door",門,3
阜,fù,mound,"mound; dam",⻏,8
隶,dài,slave,slave,隸,8
隹,zhuī,short-tailed bird,short-tailed bird,none,8
雨,yǔ,rain,rain,none,8
青,qīng,blue/green,"blue; green",none,8
非,fēi,not,"not; wrong",none,8
面,miàn,face,face,none,9
革,gé,leather,"leather; hide",none,9
韦,wéi,"tanned leather",tanned leather,韋,9
韭,jiǔ,leek,leek,none,9
音,yīn,sound,sound,none,9
页,yè,leaf,"leaf; page",頁,9
风,fēng,wind,wind,風,9
飞,fēi,fly,to fly,飛,9
食,shí,eat,"food; to eat",饣,9
首,shǒu,head,head,none,9
香,xiāng,fragrant,fragrant,none,9
马,mǎ,horse,horse,馬,3
骨,gǔ,bone,bone,none,10
高,gāo,high,high,none,10
髟,biāo,long hair,long hair,none,10
斗,dòu,fight,to fight,鬥,10
鬯,chàng,sacrificial wine,sacrificial wine,none,10
鬲,lì,cauldron,cauldron,none,10
鬼,guǐ,ghost,ghost,none,10
鱼,yú,fish,fish,魚,11
鸟,niǎo,bird,bird,鳥,11
卤,lǔ,salt,salt,鹵,11
鹿,lù,deer,deer,none,11
麦,mài,wheat,wheat,麥,11
麻,má,hemp,"hemp; flax",none,11
黄,huáng,yellow,yellow,黃,12
黍,shǔ,millet,millet,none,12
黑,hēi,black,black,none,12
黹,zhǐ,embroidery,embroidery,none,12
黾,mǐn,frog,frog,黽,13
鼎,dǐng,tripod,tripod cauldron,none,13
鼓,gǔ,drum,drum,none,13
鼠,shǔ,rat,"rat; mouse",none,13
鼻,bí,nose,nose,none,14
齐,qí,even,"even; neat",齊,14
齿,chǐ,tooth,tooth,齒,15
龙,lóng,dragon,dragon,龍,16
龟,guī,turtle,turtle,龜,16
龠,yuè,flute,flute,none,17